disease,medication
Aneurysm Ruptured,"Metformin HCl, Abatacept Abatacept Maltose, Cyclophosphamide, Cyanocobalamin (Vitamin B-12), Adalimumab, Octreotide Acetate,mi-Spheres, "
Aortic Rupture,"Abatacept Abatacept Maltose, Octreotide Acetate,mi-Spheres, "
Aortic Aneurysm,"Erlotinib HCl, Prednisolone Acetate, "
Aortic Aneurysm Abdominal,"Octreotide Acetate, "
Aortic Aneurysm Thoracic,"Duloxetine HCl, Bendamustine HCl, Aflibercept, Alteplase, "
Iliac Aneurysm,"Ipilimumab, Dimethyl Fumarate, Memantine HCl, Doxazosin Mesylate, Enalapril Maleate, Corticotropin, "
Angiomatosis,"Everolimus, Glatiramer Acetate, Clomipramine HCL, Etanercept, Cyclophosphamide, "
Angioedema,"Methylprednisolone Acetate (80 mg), Clobetasol Propionate, Aflibercept, Doxazosin Mesylate, Albuterol Sulfate, "
Aortic Diseases,"Mitomycin, Adalimumab, Octreotide Acetate, "
Takayasu Arteritis,"Sipuleucel-T Lactated Ringers, Cyclophosphamide, Bupropion HCl, Aminolevulinic Acid HCl, "
Aortitis,"Digoxin, Ledipasvir Sofosbuvir, Sipuleucel-T Lactated Ringers, Econazole Nitrate, Fluticasone Salmeterol, Octreotide Acetate,mi-Spheres, "
Arterial Occlusive Diseases,"Immun Glob G (IGG) Gly Iga 50+, Darunavir Ethanolate, Divalproex Sodium, Octreotide Acetate, Esomeprazole Magnesium, Dimethyl Fumarate, "
Arteriosclerosis,"Rivaroxaban, Simeprevir Sodium, Enalapril Maleate, "
Arteriosclerosis Obliterans,"Doxazosin Mesylate, Ursodiol, Bortezomib, Octreotide Acetate, "
Peripheral Arterial Disease,"Trastuzumab, Pegfilgrastim, Etanercept, Bendamustine HCl, Imatinib Mesylate, "
Intermittent Claudication,"Imatinib Mesylate, Clobetasol Propionate, Sofosbuvir, Cyanocobalamin (Vitamin B-12), "
Thromboangiitis Obliterans,"Enalapril Maleate, Bevacizumab, Carfilzomib, Pregabalin, Adalimumab, "
Arteritis,"Insulin Glargine,Hum.Rec.Anlog, Epoetin Alfa, Cyanocobalamin (Vitamin B-12), "
Endarteritis,"Glatiramer Acetate, Ranibizumab, Immun Glob G(IGG) Pro Iga 0-50, Esomeprazole Magnesium, "
Polyarteritis Nodosa,"Abatacept Abatacept Maltose, Ledipasvir Sofosbuvir, Rivaroxaban, Duloxetine HCl, "
Capillary Leak Syndrome,"Teriparatide, Sitagliptin Phosphate, Everolimus, "
Diabetic Angiopathies,"Teriparatide, Certolizumab Pegol, Econazole Nitrate, Emtricitabine Tenofovir, Arformoterol Tartrate, "
Diabetic Foot,"Pemetrexed Disodium, Glucagon,human Recombinant, Darunavir Ethanolate, Ursodiol, Bosentan, "
Embolism,"Immun Glob G(IGG) Pro Iga 0-50, Ambrisentan, Cetuximab, Paliperidone Palmitate, Esomeprazole Magnesium, "
Embolism Air,"Formoterol Fumarate, Methylprednisolone Acetate (80 mg), "
Embolism Fat,"Octreotide Acetate,mi-Spheres, Sipuleucel-T Lactated Ringers, Ibrutinib, "
Embolism Cholesterol,"Natalizumab, Econazole Nitrate, Rivaroxaban, Aripiprazole, Chlorpromazine HCl, Cetuximab, "
Thromboembolism,"Infliximab, Epoetin alfa, Esomeprazole Magnesium, Azacitidine, Captopril, Propranolol HCl, "
Thrombosis,"Alteplase, Clomipramine HCL, Denosumab, Darunavir Ethanolate, Bexarotene, "
Venous Thrombosis,"Corticotropin, Imatinib Mesylate, Duloxetine HCl, Carbamazepine, "
Pseudoxanthoma Elasticum,"Propranolol HCl, Ipilimumab, Sipuleucel-T Lactated Ringers, "
Shwartzman Phenomenon,"Immun Glob G (IGG) Gly Iga 50+, Pneumococcal 13-Valent Vaccine, Prednisolone Acetate, "
Hypertension Malignant,"Arformoterol Tartrate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Peripheral Vascular Diseases,"Formoterol Fumarate, Propranolol HCl, Darbepoetin Alfa In Polysorbat, "
Erythromelalgia,"Rituximab, Formoterol Fumarate, Doxazosin Mesylate, "
Phlebitis,"Pneumococcal 13-Valent Vaccine, Immun Glob G(IGG) Malt Iga 50+, Bexarotene, Memantine HCl, Rituximab, "
Raynaud Disease,"Daptomycin, Trastuzumab, Rosuvastatin Calcium, "
Reperfusion Injury,"Fluticasone Salmeterol, Cyclophosphamide, "
Splenic Infarction,"Bendamustine HCl, Teriparatide, Corticotropin, Azacitidine, "
Varicose Ulcer,"Lenalidomide, Pneumococcal 13-Valent Vaccine, Glucagon,human Recombinant, Ranibizumab, Ipilimumab, "
Purpura Schoenlein-Henoch,"Formoterol Fumarate, Teriparatide, Rituximab, Propranolol HCl, Hydroxychloroquine Sulfate, "
Systemic Vasculitis,"Ursodiol, Rosuvastatin Calcium, Pneumococcal 13-Valent Vaccine, Bendamustine HCl, Alteplase, Cyanocobalamin (Vitamin B-12), "
Churg-Strauss Syndrome,"Pregabalin, Efavirenz Emtricitab Tenofovir, Immun Glob G(IGG) Malt Iga 50+, Ipilimumab, "
Vasculitis Leukocytoclastic Cutaneous,"Sitagliptin Phosphate, Bexarotene, Octreotide Acetate, Thyrotropin Alfa, Gemcitabine HCl, Rosuvastatin Calcium, "
Fanconi Anemia,"Fluticasone Salmeterol, Pegfilgrastim, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Daptomycin, Arformoterol Tartrate, Insulin Glargine,Hum.Rec.Anlog, "
Anemia Hemolytic Congenital,"Rituximab, Bortezomib, Lenalidomide, Prednisolone Acetate, Carbamazepine, Teriparatide, "
Anemia Dyserythropoietic Congenital,"Immun Glob G(IGG) Malt Iga 50+, Albuterol Sulfate, Carfilzomib, Chlorpromazine HCl, Ipilimumab, "
Anemia Sickle Cell,"Methylprednisolone Acetate (40 mg), Gemcitabine HCl, Fluticasone Salmeterol, "
Hemoglobin SC Disease,"Insulin Glargine,Hum.Rec.Anlog, Naproxen Esomeprazole Mag, Infliximab, Ibrutinib, "
Sickle Cell Trait,"Simeprevir Sodium, Treprostinil Sodium, "
Elliptocytosis Hereditary,"Fluticasone Salmeterol, Immun Glob G(IGG) Malt Iga 50+, Ambrisentan, "
Glucosephosphate Dehydrogenase Deficiency,"Azacitidine, Daptomycin, Bupropion HCl, Aflibercept, "
Hemoglobin C Disease,"Omalizumab, Certolizumab Pegol, Ipilimumab, Chlorpromazine HCl, "
Spherocytosis Hereditary,"Efavirenz Emtricitab Tenofovir, Ibrutinib, Tiotropium Bromide, Enalapril Maleate, "
alpha-Thalassemia,"Daptomycin, Chlorpromazine HCl, Albuterol Sulfate, Hydroxychloroquine Sulfate, Naproxen Esomeprazole Mag, Fulvestrant, "
Hemoglobinuria Paroxysmal,"Capecitabine, Immun Glob G(IGG) Pro Iga 0-50, "
Anemia Iron-Deficiency,"Simeprevir Sodium, Ipilimumab, Glatiramer Acetate, Fluticasone Salmeterol, "
Anemia Macrocytic,"Teriparatide, Simeprevir Sodium, Sitagliptin Phosphate, "
Anemia Pernicious,"Clobetasol Propionate, Capecitabine, Epoetin alfa, "
Anemia Refractory,"Ibrutinib, Aminolevulinic Acid HCl, "
Anemia Refractory with Excess of Blasts,"Ambrisentan, Hydroxychloroquine Sulfate, Esomeprazole Magnesium, Rivaroxaban, Sofosbuvir, "
Anemia Sideroblastic,"Ibrutinib, Metformin HCl, Sitagliptin Phosphate, Pegfilgrastim, "
Blood Coagulation Disorders,"Insulin Glargine,Hum.Rec.Anlog, Abatacept Abatacept Maltose, Natalizumab, "
Afibrinogenemia,"Treprostinil Sodium, Sitagliptin Phosphate, Ranibizumab, Immun Glob G(IGG) Pro Iga 0-50, Darunavir Ethanolate, "
von Willebrand Diseases,"Albuterol Sulfate, Fluticasone Salmeterol, Chlorpromazine HCl, Fulvestrant, Corticotropin, Sirolimus, "
Disseminated Intravascular Coagulation,"Sipuleucel-T Lactated Ringers, Adalimumab, Pegfilgrastim, Lenalidomide, "
Ecchymosis,"Prednisolone Acetate, Pegfilgrastim, Glucagon,human Recombinant, "
Purpura Thrombocytopenic,"Sofosbuvir, Darunavir Ethanolate, "
Purpura Thrombocytopenic Idiopathic,"Methylprednisolone Acetate (80 mg), Prednisolone Acetate, Carbamazepine, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Naproxen Esomeprazole Mag, "
Purpura Thrombotic Thrombocytopenic,"Pemetrexed Disodium, Paliperidone Palmitate, "
Thrombocythemia Essential,"Aminolevulinic Acid HCl, Adalimumab, Glatiramer Acetate, "
Blood Group Incompatibility,"Diclofenac Sodium, Ambrisentan, Paclitaxel Protein-Bound, "
Rh Isoimmunization,"Insulin Glargine,Hum.Rec.Anlog, Imatinib Mesylate, Abiraterone Acetate, Cyclophosphamide, Capecitabine, "
Thrombocytosis,"Rivaroxaban, Imatinib Mesylate, "
Blood Protein Disorders,"Cetuximab, Glatiramer Acetate, Bupropion HCl, "
Agammaglobulinemia,"Prednisolone Acetate, Daptomycin, "
IgG Deficiency,"Simeprevir Sodium, Epoetin Alfa, Rituximab, "
Monoclonal Gammopathy of Undetermined Significance,"Sirolimus, Omalizumab, Ursodiol, Insulin Glargine,Hum.Rec.Anlog, "
Hypoproteinemia,"Albuterol Sulfate, Diclofenac Sodium, Daptomycin, Denosumab, Tiotropium Bromide, Divalproex Sodium, "
Bone Marrow Diseases,"Bexarotene, Fluticasone Salmeterol, Rituximab, Corticotropin, "
Myelodysplastic Syndromes,"Glatiramer Acetate, Aripiprazole, Ursodiol, Albuterol Sulfate, "
Myeloproliferative Disorders,"Enalapril Maleate, Albuterol Sulfate, "
Leukemoid Reaction,"Darunavir Ethanolate, Ibrutinib, "
Polycythemia Vera,"Albuterol Sulfate, Memantine HCl, Rituximab, "
Primary Myelofibrosis,"Capecitabine, Memantine HCl, Dimethyl Fumarate, "
Hemoglobinopathies,"Rituximab, Ipilimumab, Albuterol Sulfate, Etanercept, Darbepoetin Alfa In Polysorbat, "
Hemorrhagic Disorders,"Bexarotene, Esomeprazole Magnesium, Paliperidone Palmitate, "
Angiolymphoid Hyperplasia with Eosinophilia,"Chlorpromazine HCl, Ledipasvir Sofosbuvir, Teriparatide, Dimethyl Fumarate, "
Hypereosinophilic Syndrome,"Darbepoetin Alfa In Polysorbat, Chlorpromazine HCl, Fulvestrant, Clobetasol Propionate, Immun Glob G (IGG) Gly Iga 50+, "
Lymphocytosis,"Ambrisentan, Clomipramine HCL, Imatinib Mesylate, Paclitaxel Protein-Bound, Captopril, "
Leukopenia,"Fulvestrant, Cetuximab, Immun Glob G(IGG) Pro Iga 0-50, Aripiprazole, "
Agranulocytosis,"Bosentan, Pneumococcal 13-Valent Vaccine, "
Neutropenia,"Mitomycin, Aflibercept, Prednisolone Acetate, Clomipramine HCL, Corticotropin, Denosumab, "
Lymphopenia,"Rivaroxaban, Glatiramer Acetate, Thyrotropin Alfa, Carfilzomib, Pneumococcal 13-Valent Vaccine, "
T-Lymphocytopenia Idiopathic CD4-Positive,"Clobetasol Propionate, Methylprednisolone Acetate (80 mg), Dimethyl Fumarate, "
Leukostasis,"Cyclophosphamide, Diclofenac Sodium, Aripiprazole, "
Pelger-Huet Anomaly,"Ranibizumab, Rivaroxaban, Mitomycin, Cyclophosphamide, "
Phagocyte Bactericidal Dysfunction,"Prednisolone Acetate, Bupropion HCl, Bexarotene, Clobetasol Propionate, Corticotropin, Clomipramine HCL, "
Chediak-Higashi Syndrome,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Gemcitabine HCl, Carfilzomib, "
Granulomatous Disease Chronic,"Propranolol HCl, Captopril, Ipilimumab, "
Job's Syndrome,"Memantine HCl, Rosuvastatin Calcium, Bendamustine HCl, Raltegravir Potassium, "
Methemoglobinemia,"Fluticasone Salmeterol, Prednisolone Acetate, "
Pancytopenia,"Darunavir Ethanolate, Fulvestrant, Aflibercept, Efavirenz Emtricitab Tenofovir, Bevacizumab, "
Polycythemia,"Dimethyl Fumarate, Arformoterol Tartrate, Insulin Glargine,Hum.Rec.Anlog, Fluticasone Salmeterol, Pemetrexed Disodium, "
Histiocytosis,"Corticotropin, Clomipramine HCL, Simeprevir Sodium, Capecitabine, Ranibizumab, Ursodiol, "
Histiocytosis Non-Langerhans-Cell,"Adalimumab, Immun Glob G(IGG) Malt Iga 50+, "
Erdheim-Chester Disease,"Esomeprazole Magnesium, Enzalutamide, Diclofenac Sodium, Doxazosin Mesylate, Omalizumab, Fulvestrant, "
Histiocytosis Sinus,"Enalapril Maleate, Carfilzomib, Digoxin, Bortezomib, Immun Glob G(IGG) Pro Iga 0-50, "
Lymphohistiocytosis Hemophagocytic,"Aflibercept, Carfilzomib, "
Histiocytic Necrotizing Lymphadenitis,"Ledipasvir Sofosbuvir, Paliperidone Palmitate, "
Elephantiasis,"Doxazosin Mesylate, Denosumab, Lenalidomide, Dimethyl Fumarate, Azacitidine, Albuterol Sulfate, "
Lymphoproliferative Disorders,"Carbamazepine, Trastuzumab, Rituximab, Etanercept, "
Granuloma,"Carfilzomib, Immun Glob G (IGG) Gly Iga 50+, Sipuleucel-T Lactated Ringers, Ibrutinib, Alteplase, Naproxen Esomeprazole Mag, "
Uveoparotid Fever,"Octreotide Acetate,mi-Spheres, Duloxetine HCl, Ledipasvir Sofosbuvir, Pneumococcal 13-Valent Vaccine, Tiotropium Bromide, "
Tumor Lysis Syndrome,"Etanercept, Octreotide Acetate,mi-Spheres, Enzalutamide, Rosuvastatin Calcium, Cyclophosphamide, "
Pseudolymphoma,"Mitomycin, Aminolevulinic Acid HCl, Arformoterol Tartrate, Glucagon,human Recombinant, Treprostinil Sodium, Bexarotene, "
Hypersplenism,"Lenalidomide, Immun Glob G(IGG) Malt Iga 50+, Pregabalin, Omalizumab, "
Splenic Rupture,"Prednisolone Acetate, Abatacept Abatacept Maltose, Trastuzumab, Hydroxychloroquine Sulfate, Capecitabine, Bendamustine HCl, "
Thymus Hyperplasia,"Ursodiol, Octreotide Acetate, "
Congenital Abnormalities,"Hydroxychloroquine Sulfate, Ledipasvir Sofosbuvir, Bosentan, Digoxin, Sipuleucel-T Lactated Ringers, Divalproex Sodium, "
Abnormalities Drug-Induced,"Octreotide Acetate,mi-Spheres, Gemcitabine HCl, Paliperidone Palmitate, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Bosentan, Emtricitabine Tenofovir, "
Ectodermal Dysplasia,"Albuterol Sulfate, Azacitidine, "
Ectodermal Dysplasia 1 Anhidrotic,"Tiotropium Bromide, Capecitabine, Ledipasvir Sofosbuvir, Azacitidine, Glucagon,human Recombinant, Propranolol HCl, "
Incontinentia Pigmenti,"Treprostinil Sodium, Etanercept, Aflibercept, Cyanocobalamin (Vitamin B-12), "
Abnormalities Radiation-Induced,"Divalproex Sodium, Esomeprazole Magnesium, "
Chromosome Disorders,"Aflibercept, Teriparatide, Fluticasone Salmeterol, Octreotide Acetate, "
Situs Inversus,"Simeprevir Sodium, Aripiprazole, Epoetin alfa, Formoterol Fumarate, "
Acrodermatitis,"Cyanocobalamin (Vitamin B-12), Divalproex Sodium, Cyclophosphamide, "
Ichthyosis,"Azacitidine, Cetuximab, Treprostinil Sodium, Octreotide Acetate,mi-Spheres, Hydroxychloroquine Sulfate, "
Port-Wine Stain,"Clobetasol Propionate, Raltegravir Potassium, Darbepoetin Alfa In Polysorbat, "
Piebaldism,"Pregabalin, Immun Glob G(IGG) Malt Iga 50+, Ipilimumab, "
Hereditary Autoinflammatory Diseases,"Cyclophosphamide, Chlorpromazine HCl, Memantine HCl, "
Cryopyrin-Associated Periodic Syndromes,"Etanercept, Pegfilgrastim, Sofosbuvir, Enalapril Maleate, Carbamazepine, "
Familial Mediterranean Fever,"Ipilimumab, Daptomycin, Epoetin Alfa, "
Carbohydrate Metabolism Inborn Errors,"Naproxen Esomeprazole Mag, Chlorpromazine HCl, "
Glycogen Storage Disease,"Enalapril Maleate, Albuterol Sulfate, Aminolevulinic Acid HCl, Clomipramine HCL, "
Glycogen Storage Disease Type V,"Pegfilgrastim, Denosumab, Paclitaxel Protein-Bound, "
Mucopolysaccharidosis IV,"Propranolol HCl, Aminolevulinic Acid HCl, Thyrotropin Alfa, Sipuleucel-T Lactated Ringers, Divalproex Sodium, Darbepoetin Alfa In Polysorbat, "
Mucopolysaccharidosis VI,"Teriparatide, Pregabalin, "
Lipid Metabolism Inborn Errors,"Darunavir Ethanolate, Captopril, Erlotinib HCl, Trastuzumab, Bupropion HCl, "
Hypolipoproteinemias,"Etanercept, Enalapril Maleate, Bexarotene, Omalizumab, Enzalutamide, "
Cholesterol Ester Storage Disease,"Teriparatide, Naproxen Esomeprazole Mag, Paclitaxel Protein-Bound, Ambrisentan, "
Wolman Disease,"Epoetin alfa, Bendamustine HCl, Immun Glob G(IGG) Pro Iga 0-50, "
Purine-Pyrimidine Metabolism Inborn Errors,"Rituximab, Certolizumab Pegol, Emtricitabine Tenofovir, Lenalidomide, Gemcitabine HCl, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Darier Disease,"Sofosbuvir, Gemcitabine HCl, Etanercept, Sirolimus, Glucagon,human Recombinant, Infliximab, "
Dermatitis Atopic,"Ambrisentan, Clomipramine HCL, Dimethyl Fumarate, "
Infant Newborn Diseases,"Omalizumab, Raltegravir Potassium, Metformin HCl, Fulvestrant, Diclofenac Sodium, Octreotide Acetate, "
Asphyxia Neonatorum,"Cyclophosphamide, Sitagliptin Phosphate, Azacitidine, "
Birth Injuries,"Everolimus, Bosentan, Methylprednisolone Acetate (80 mg), "
Jaundice Neonatal,"Darunavir Ethanolate, Immun Glob G(IGG) Malt Iga 50+, Abatacept Abatacept Maltose, "
Infant Premature Diseases,"Thyrotropin Alfa, Imatinib Mesylate, Cyclophosphamide, Adalimumab, Abatacept Abatacept Maltose, "
Neonatal Abstinence Syndrome,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Denosumab, Arformoterol Tartrate, "
Lupus Erythematosus Cutaneous,"Prednisolone Acetate, Sofosbuvir, Erlotinib HCl, Rivaroxaban, "
Lupus Erythematosus Discoid,"Teriparatide, Immun Glob G (IGG) Gly Iga 50+, Paclitaxel Protein-Bound, "
Mixed Connective Tissue Disease,"Pegfilgrastim, Bendamustine HCl, Capecitabine, Rituximab, Chlorpromazine HCl, "
Mucinoses,"Abiraterone Acetate, Bosentan, Raltegravir Potassium, Darunavir Ethanolate, Ledipasvir Sofosbuvir, "
Myxedema,"Everolimus, Sofosbuvir, Pregabalin, Erlotinib HCl, Metformin HCl, "
Scleredema Adultorum,"Mitomycin, Digoxin, "
Panniculitis,"Epoetin alfa, Aripiprazole, Efavirenz Emtricitab Tenofovir, Cetuximab, "
Panniculitis Nodular Nonsuppurative,"Darbepoetin Alfa In Polysorbat, Pneumococcal 13-Valent Vaccine, Omalizumab, Pegfilgrastim, "
Acne Vulgaris,"Lenalidomide, Omalizumab, "
Acute Generalized Exanthematous Pustulosis,"Emtricitabine Tenofovir, Glatiramer Acetate, Methylprednisolone Acetate (40 mg), "
Breast Diseases,"Ibrutinib, Insulin Glargine,Hum.Rec.Anlog, "
Cutaneous Fistula,"Rivaroxaban, Esomeprazole Magnesium, "
Dermatitis,"Sipuleucel-T Lactated Ringers, Immun Glob G (IGG) Gly Iga 50+, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Gemcitabine HCl, Daptomycin, Epoetin alfa, "
Dermatitis Contact,"Duloxetine HCl, Fulvestrant, Chlorpromazine HCl, Sirolimus, Diclofenac Sodium, "
Dermatitis Allergic Contact,"Ranibizumab, Doxazosin Mesylate, "
Diaper Rash,"Octreotide Acetate, Memantine HCl, Doxazosin Mesylate, Ledipasvir Sofosbuvir, Omalizumab, Naproxen Esomeprazole Mag, "
Dermatitis Occupational,"Treprostinil Sodium, Naproxen Esomeprazole Mag, Divalproex Sodium, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Dermatitis Exfoliative,"Fluticasone Salmeterol, Bosentan, Prednisolone Acetate, Azacitidine, Capecitabine, "
Dermatitis Herpetiformis,"Azacitidine, Thyrotropin Alfa, Diclofenac Sodium, "
Dermatitis Perioral,"Rituximab, Methylprednisolone Acetate (40 mg), Sitagliptin Phosphate, Enalapril Maleate, "
Dermatitis Seborrheic,"Chlorpromazine HCl, Naproxen Esomeprazole Mag, Esomeprazole Magnesium, Glatiramer Acetate, Trastuzumab, "
Epidermal Necrolysis Toxic,"Cyanocobalamin (Vitamin B-12), Daptomycin, Aminolevulinic Acid HCl, Captopril, Ursodiol, "
Erythema Nodosum,"Alteplase, Pregabalin, Certolizumab Pegol, Mitomycin, "
Serum Sickness,"Lenalidomide, Raltegravir Potassium, Hydroxychloroquine Sulfate, Bortezomib, "
Neurodermatitis,"Pregabalin, Enzalutamide, "
Radiodermatitis,"Mitomycin, Cetuximab, "
Erythema,"Methylprednisolone Acetate (80 mg), Imatinib Mesylate, Corticotropin, Naproxen Esomeprazole Mag, "
Erythema Multiforme,"Econazole Nitrate, Bosentan, Fulvestrant, Alteplase, Raltegravir Potassium, "
Sweet Syndrome,"Esomeprazole Magnesium, Rivaroxaban, Pemetrexed Disodium, "
Facial Dermatoses,"Bosentan, Raltegravir Potassium, Imatinib Mesylate, "
Foot Dermatoses,"Raltegravir Potassium, Propranolol HCl, Bosentan, Azacitidine, Emtricitabine Tenofovir, "
Folliculitis,"Arformoterol Tartrate, Prednisolone Acetate, Gemcitabine HCl, Natalizumab, Ledipasvir Sofosbuvir, Epoetin alfa, "
Hypotrichosis,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Methylprednisolone Acetate (80 mg), Gemcitabine HCl, "
Hand Dermatoses,"Insulin Glargine,Hum.Rec.Anlog, Daptomycin, "
Keratoacanthoma,"Darbepoetin Alfa In Polysorbat, Epoetin alfa, Epoetin Alfa, Trastuzumab, Doxazosin Mesylate, "
Leg Dermatoses,"Cyclophosphamide, Paclitaxel Protein-Bound, Propranolol HCl, "
Lipomatosis,"Chlorpromazine HCl, Epoetin alfa, Divalproex Sodium, "
Nail Diseases,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Azacitidine, "
Photosensitivity Disorders,"Lenalidomide, Raltegravir Potassium, "
Sunburn,"Treprostinil Sodium, Aripiprazole, Daptomycin, "
Prurigo,"Natalizumab, Enalapril Maleate, "
Pruritus,"Capecitabine, Cyclophosphamide, Rosuvastatin Calcium, "
Pyoderma,"Memantine HCl, Daptomycin, "
Pyoderma Gangrenosum,"Bexarotene, Sipuleucel-T Lactated Ringers, Emtricitabine Tenofovir, Denosumab, Epoetin alfa, Aflibercept, "
Scalp Dermatoses,"Econazole Nitrate, Lenalidomide, Rosuvastatin Calcium, Memantine HCl, Bexarotene, "
Skin Diseases Papulosquamous,"Digoxin, Natalizumab, Enzalutamide, Cyclophosphamide, Ledipasvir Sofosbuvir, "
Lichenoid Eruptions,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Adalimumab, Pregabalin, Ibrutinib, Doxazosin Mesylate, "
Pityriasis Lichenoides,"Ibrutinib, Imatinib Mesylate, "
Parapsoriasis,"Trastuzumab, Clobetasol Propionate, Rituximab, Darunavir Ethanolate, Diclofenac Sodium, Bupropion HCl, "
Skin Diseases Vascular,"Naproxen Esomeprazole Mag, Paliperidone Palmitate, Bevacizumab, Adalimumab, "
Skin Diseases Vesiculobullous,"Insulin Glargine,Hum.Rec.Anlog, Gemcitabine HCl, Trastuzumab, "
Acantholysis,"Formoterol Fumarate, Imatinib Mesylate, Omalizumab, Duloxetine HCl, Fulvestrant, "
Blister,"Rosuvastatin Calcium, Ursodiol, Daptomycin, Sipuleucel-T Lactated Ringers, Gemcitabine HCl, Ranibizumab, "
Pemphigoid Bullous,"Immun Glob G(IGG) Pro Iga 0-50, Simeprevir Sodium, "
Skin Ulcer,"Teriparatide, Clobetasol Propionate, Carbamazepine, Tiotropium Bromide, Cetuximab, Propranolol HCl, "
Leg Ulcer,"Simeprevir Sodium, Thyrotropin Alfa, Memantine HCl, Chlorpromazine HCl, "
Pressure Ulcer,"Memantine HCl, Ledipasvir Sofosbuvir, Doxazosin Mesylate, Corticotropin, "
Sweat Gland Diseases,"Cetuximab, Certolizumab Pegol, Methylprednisolone Acetate (40 mg), Mitomycin, Diclofenac Sodium, Abiraterone Acetate, "
