disease,symptoms
Shock Septic,Fever Fever of Unknown Origin Hypothermia Body Weight Weight Gain Weight Loss Cachexia Obesity Obesity Morbid Cardiac Output High Cardiac Output Low Cyanosis Edema Edema Cardiac Eye Hemorrhage Fatigue Decerebrate State Hypokinesia Myoclonus Meningism Confusion Delirium Unconsciousness Coma Syncope Memory Disorders Amnesia Mental Retardation Muscle Cramp Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Pain Back Pain Headache Paralysis Paraplegia Quadriplegia Respiratory Paralysis Seizures Hyperalgesia Paresthesia Urinary Bladder Neurogenic Aphonia Abdominal Pain Abdomen Acute Shoulder Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Anorexia Constipation Diarrhea Diarrhea Infantile Nausea Vomiting Hematemesis Anoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Respiratory Sounds Skin Manifestations Ecchymosis Jaundice Pruritus Purpura Purpura Fulminans Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Waterhouse-Friderichsen Syndrome Oliguria Polyuria Proteinuria Albuminuria 
Skin Diseases Infectious,Fever Hypothermia Body Weight Cyanosis Edema Hydrops Fetalis Hypergammaglobulinemia Cerebrospinal Fluid Otorrhea Trismus Pain Headache Neuralgia Paralysis Facial Paralysis Hearing Loss Sensorineural Hyperesthesia Abdominal Pain Abdomen Acute Diarrhea Nausea Vomiting Dyspnea Respiratory Sounds Skin Manifestations Ecchymosis Pruritus Tinea Pedis Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Proteinuria 
Cellulitis,Fever Fever of Unknown Origin Body Weight Obesity Obesity Morbid Cyanosis Edema Eye Manifestations Intermittent Claudication Neurologic Manifestations Psychomotor Agitation Speech Disorders Confusion Delirium Coma Mental Retardation Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Sciatica Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Horner Syndrome Seizures Deafness Hypesthesia Vision Disorders Blindness Diplopia Oral Hemorrhage Abdomen Acute Arthralgia Chest Pain Toothache Constipation Diarrhea Hiccup Anoxia Dyspnea Skin Manifestations Ecchymosis Jaundice Jaundice Obstructive Pruritus Tinea Pedis Purpura Polyuria Proteinuria Albuminuria Urinary Incontinence Stress 
Blastomycosis,Fever Body Weight Obesity Chills Fatigue Neurologic Manifestations Consciousness Disorders Muscle Weakness Pain Back Pain Low Back Pain Headache Neck Pain Facial Paralysis Paraplegia Seizures Hearing Loss Conductive Hearing Loss Sensorineural Paresthesia Vision Disorders Blindness Hoarseness Abdominal Pain Abdomen Acute Arthralgia Toothache Nausea Cough Dyspnea Hemoptysis Skin Manifestations Pruritus 
Sporotrichosis,Fever Body Weight Chills Edema Delirium Syncope Hallucinations Muscle Weakness Pain Hemiplegia Hoarseness Arthralgia Chest Pain Nausea Vomiting Cough Dyspnea Hemoptysis Respiratory Sounds 
Tinea,Fever Edema Hypergammaglobulinemia Neurologic Manifestations Delirium Auditory Perceptual Disorders Hallucinations Pain Headache Psychophysiologic Disorders Hearing Loss Vision Disorders Nausea Vomiting Skin Manifestations Pruritus Tinea Pedis 
Tinea Capitis,Fever Body Weight Confusion Mental Retardation Headache Dizziness Hearing Disorders Taste Disorders Vision Disorders Anorexia Constipation Diarrhea Nausea Pruritus Tinea Pedis 
Soft Tissue Infections,Fever Fever of Unknown Origin Obesity Edema Pain Headache Neck Pain Seizures Dizziness Hypesthesia Arthralgia Chest Pain Flank Pain Pain Postoperative Diarrhea Nausea Vomiting Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Urinary Incontinence Stress 
Suppuration,Fever Neurologic Manifestations Hallucinations Pain Sciatica Vision Disorders Abdomen Acute Diarrhea Anoxia Cough Dyspnea Pruritus 
Abscess,Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Cachexia Obesity Obesity Morbid Cardiac Output Low Cyanosis Edema Eye Manifestations Fatigue Heart Murmurs Hypergammaglobulinemia Intermittent Claudication Motion Sickness Neurologic Manifestations Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Torticollis Psychomotor Agitation Gait Disorders Neurologic Meningism Aphasia Confusion Delirium Coma Persistent Vegetative State Hallucinations Phantom Limb Fasciculation Muscle Weakness Myotonia Spasm Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Psychophysiologic Disorders Horner Syndrome Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Mixed Conductive-Sensorineural Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Diplopia Vision Low Sleep Disorders Urinary Bladder Neurogenic Vertigo Voice Disorders Hoarseness Abdominal Pain Abdomen Acute Colic Arthralgia Shoulder Pain Chest Pain Angina Pectoris Acute Coronary Syndrome Angina Unstable Earache Toothache Flank Pain Pain Postoperative Pelvic Pain Constipation Diarrhea Flatulence Halitosis Nausea Vomiting Hematemesis Anoxia Apnea Cough Dyspnea Hemoptysis Respiratory Sounds Ecchymosis Jaundice Pruritus Purpura Purpura Schoenlein-Henoch Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Dysuria Oliguria Proteinuria Hemoglobinuria Urinary Incontinence Urinary Incontinence Stress 
Abdominal Abscess,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Obesity Morbid Cyanosis Cerebellar Ataxia Dysarthria Coma Pain Back Pain Low Back Pain Paraplegia Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Colic Flank Pain Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Diarrhea Infantile Nausea Vomiting Hematemesis Dyspnea Jaundice Jaundice Obstructive Purpura Thrombocytopenic Idiopathic Urinary Incontinence Urinary Incontinence Stress 
Liver Abscess,Fever Fever of Unknown Origin Body Weight Weight Loss Cachexia Obesity Chills Fatigue Hypergammaglobulinemia Coma Pain Back Pain Pain Intractable Hearing Loss Bilateral Vision Disorders Amblyopia Blindness Abdominal Pain Abdomen Acute Shoulder Pain Anorexia Constipation Diarrhea Diarrhea Infantile Dyspepsia Nausea Vomiting Cough Hemoptysis Jaundice Jaundice Obstructive Purpura Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic Urinary Incontinence 
Liver Abscess Amebic,Fever Fever of Unknown Origin Hypothermia Body Weight Weight Loss Chills Hypergammaglobulinemia Catatonia Coma Hallucinations Pain Headache Paresthesia Taste Disorders Abdominal Pain Abdomen Acute Colic Shoulder Pain Chest Pain Anorexia Diarrhea Diarrhea Infantile Nausea Vomiting Cough Dyspnea Hemoptysis Respiratory Sounds Ecchymosis Jaundice Purpura Purpura Schoenlein-Henoch Proteinuria 
Liver Abscess Pyogenic,Fever Fever of Unknown Origin Weight Loss Blindness Abdominal Pain Abdomen Acute Anorexia Vomiting Cough 
Subphrenic Abscess,Fever Fever of Unknown Origin Obesity Edema Tetany Pain Abdominal Pain Abdomen Acute Flatulence Halitosis Cough Dyspnea Jaundice 
Lung Abscess,Fever Fever of Unknown Origin Weight Loss Obesity Obesity Morbid Cyanosis Edema Fatigue Hypergammaglobulinemia Neurologic Manifestations Aphasia Broca Muscle Weakness Paralysis Paresis Horner Syndrome Seizures Deafness Chest Pain Halitosis Vomiting Hematemesis Anoxia Cough Dyspnea Hemoptysis Purpura Hyperglobulinemic Waterhouse-Friderichsen Syndrome Oliguria 
Periapical Abscess,Fever Fever of Unknown Origin Birth Weight Edema Eye Manifestations Trismus Pain Facial Pain Facial Paralysis Somatosensory Disorders Hypesthesia Paresthesia Blindness Diplopia Abdomen Acute Earache Toothache Pain Postoperative Halitosis 
Periodontal Abscess,Fever Fever of Unknown Origin Edema Trismus Pain Neck Pain Facial Paralysis Hemiplegia Ophthalmoplegia Seizures Paresthesia Diplopia Oral Hemorrhage Chest Pain Toothache 
Peritonsillar Abscess,Fever Fatigue Torticollis Speech Disorders Trismus Pain Facial Pain Quadriplegia Psychophysiologic Disorders Voice Disorders Oral Hemorrhage Abdominal Pain Dyspnea 
Psoas Abscess,Fever Fever of Unknown Origin Weight Loss Edema Fatigue Mobility Limitation Confusion Muscle Weakness Pain Back Pain Low Back Pain Neuralgia Sciatica Seizures Abdominal Pain Arthralgia Flank Pain Pain Postoperative Pelvic Pain Diarrhea Purpura Schoenlein-Henoch Urinary Incontinence Stress 
Retropharyngeal Abscess,Fever Fever of Unknown Origin Weight Loss Edema Fatigue Dystonia Torticollis Meningism Syncope Mental Retardation Muscle Weakness Trismus Pain Facial Pain Headache Neck Pain Facial Paralysis Ophthalmoplegia Paraplegia Horner Syndrome Hearing Loss Conductive Hypesthesia Paresthesia Diplopia Abdominal Pain Anorexia Apnea Cough Dyspnea Respiratory Sounds 
Empyema,Fever Fever of Unknown Origin Body Weight Edema Neurologic Manifestations Aphasia Coma Pain Back Pain Low Back Pain Headache Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Reflex Abnormal Seizures Vision Disorders Hemianopsia Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Chest Pain Toothache Diarrhea Vomiting Cough Dyspnea Hemoptysis Hyperventilation Jaundice 
Otitis Media Suppurative,Fever Body Weight Weight Loss Obesity Edema Cerebrospinal Fluid Otorrhea Torticollis Language Disorders Speech Disorders Articulation Disorders Confusion Pain Headache Neck Pain Facial Paralysis Ophthalmoplegia Vocal Cord Paralysis Miosis Horner Syndrome Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Conductive Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sensorineural Hearing Loss Noise-Induced Tinnitus Vision Disorders Blindness Diplopia Vertigo Earache Diarrhea Vomiting 
Pyomyositis,Fever Edema Pain Back Pain Low Back Pain Headache Sciatica Arthralgia Chest Pain Vomiting 
Thyroiditis Suppurative,Fever Pain Neck Pain Vocal Cord Paralysis 
Toxemia,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Fetal Macrosomia Weight Gain Weight Loss Fetal Weight Overweight Obesity Obesity Morbid Thinness Cardiac Output High Cardiac Output Low Edema Hydrops Fetalis Eye Manifestations Fetal Distress Flushing Hypergammaglobulinemia Neurologic Manifestations Hyperkinesis Psychomotor Agitation Dyslexia Language Development Disorders Speech Disorders Delirium Unconsciousness Coma Mental Retardation Psychomotor Disorders Muscle Cramp Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Tetany Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Paresthesia Vision Disorders Blindness Amaurosis Fugax Blindness Cortical Diplopia Photophobia Scotoma Sleep Disorders Voice Disorders Abdominal Pain Abdomen Acute Angina Pectoris Angina Unstable Flank Pain Dysmenorrhea Diarrhea Infantile Nausea Vomiting Hyperemesis Gravidarum Anoxia Fetal Hypoxia Apnea Dyspnea Hemoptysis Hypercapnia Hyperoxia Hyperventilation Hypoventilation Snoring Skin Manifestations Jaundice Pruritus Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Oliguria Polyuria Proteinuria Albuminuria Hemoglobinuria 
Urinary Tract Infections,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Obesity Chills Edema Fetal Distress Flushing Hot Flashes Hypergammaglobulinemia Intermittent Claudication Mobility Limitation Ataxia Myoclonus Confusion Delirium Consciousness Disorders Coma Syncope Mental Retardation Hallucinations Muscle Cramp Muscle Hypertonia Muscle Spasticity Muscle Hypotonia Spasm Pain Back Pain Low Back Pain Headache Neuralgia Paralysis Hemiplegia Paraplegia Quadriplegia Psychophysiologic Disorders Reflex Abnormal Seizures Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Functional Paresthesia Dysgeusia Vision Disorders Sleep Disorders Urinary Bladder Neurogenic Abdominal Pain Abdomen Acute Colic Chest Pain Angina Unstable Flank Pain Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Diarrhea Infantile Dyspepsia Encopresis Hyperphagia Nausea Vomiting Hematemesis Anoxia Cough Dyspnea Ecchymosis Jaundice Jaundice Obstructive Pruritus Purpura Purpura Schoenlein-Henoch Purpura Thrombotic Thrombocytopenic Dysuria Hypercalciuria Oliguria Polyuria Prostatism Proteinuria Albuminuria Hemoglobinuria Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress Urinary Incontinence Urge 
Bacteriuria,Fever Fever of Unknown Origin Birth Weight Obesity Edema Delirium Mental Retardation Muscle Hypotonia Muscular Atrophy Spasm Pain Headache Paraplegia Quadriplegia Psychophysiologic Disorders Reflex Abnormal Sleep Disorders Urinary Bladder Neurogenic Abdominal Pain Pelvic Pain Diarrhea Nausea Vomiting Cough Dyspnea Pruritus Dysuria Polyuria Proteinuria Albuminuria Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress Urinary Incontinence Urge 
Pyuria,Fever Body Weight Obesity Paraplegia Seizures Urinary Bladder Neurogenic Abdominal Pain Diarrhea Infantile Dyspepsia Jaundice Oliguria Polyuria Proteinuria Hemoglobinuria Urinary Incontinence Urinary Incontinence Stress 
Schistosomiasis haematobia,Fever Body Weight Lethargy Pain Headache Paraplegia Dizziness Abdominal Pain Abdomen Acute Colic Flank Pain Pelvic Pain Diarrhea Nausea Cough Dysuria Proteinuria Albuminuria Hemoglobinuria 
Wound Infection,Fever Fever of Unknown Origin Body Weight Weight Gain Weight Loss Obesity Edema Hot Flashes Intermittent Claudication Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Delirium Consciousness Disorders Coma Muscle Hypotonia Muscle Weakness Pain Neck Pain Paralysis Ophthalmoplegia Paraplegia Respiratory Paralysis Paresis Seizures Hearing Loss Sensorineural Diplopia Voice Disorders Oral Hemorrhage Arthralgia Diarrhea Nausea Vomiting Anoxia Purpura Proteinuria Urinary Incontinence 
Surgical Wound Infection,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Loss Cachexia Obesity Obesity Morbid Thinness Cardiac Output Low Edema Eye Pain Intermittent Claudication Mobility Limitation Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Dystonia Torticollis Tremor Unconsciousness Phantom Limb Muscle Spasticity Muscle Weakness Trismus Pain Back Pain Low Back Pain Headache Neck Pain Sciatica Pain Intractable Paralysis Facial Paralysis Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Seizures Deafness Hearing Loss Conductive Hearing Loss Mixed Conductive-Sensorineural Hearing Loss Sensorineural Hearing Loss Sudden Hearing Loss Unilateral Somatosensory Disorders Hyperesthesia Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Vision Low Abdominal Pain Abdomen Acute Arthralgia Shoulder Pain Chest Pain Angina Pectoris Angina Unstable Pain Postoperative Pelvic Pain Diarrhea Diarrhea Infantile Nausea Postoperative Nausea and Vomiting Vomiting Anoxia Apnea Hemoptysis Hypercapnia Hyperoxia Jaundice Jaundice Obstructive Tinea Pedis Purpura Purpura Thrombotic Thrombocytopenic Proteinuria Urinary Incontinence Urinary Incontinence Stress 
Aspergillosis,Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Obesity Morbid Edema Eye Manifestations Fatigue Hypergammaglobulinemia Neurologic Manifestations Ataxia Torticollis Tremor Gait Disorders Neurologic Hallucinations Muscle Weakness Pain Back Pain Low Back Pain Facial Pain Headache Neuralgia Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Vocal Cord Paralysis Paresis Paraparesis Anisocoria Horner Syndrome Seizures Hearing Loss Deafness Hearing Loss Conductive Olfaction Disorders Hypesthesia Vision Disorders Amblyopia Blindness Amaurosis Fugax Diplopia Vision Low Voice Disorders Hoarseness Oral Hemorrhage Abdominal Pain Colic Arthralgia Shoulder Pain Chest Pain Angina Pectoris Earache Diarrhea Nausea Vomiting Hematemesis Cough Dyspnea Dyspnea Paroxysmal Hemoptysis Respiratory Sounds Skin Manifestations Pruritus Tinea Pedis Purpura Schoenlein-Henoch Purpura Thrombocytopenic Idiopathic Purpura Thrombotic Thrombocytopenic Urinary Incontinence 
Aspergillosis Allergic Bronchopulmonary,Fever Weight Loss Obesity Tremor Pain Low Back Pain Seizures Chest Pain Anoxia Cough Dyspnea Hemoptysis Respiratory Sounds Purpura Thrombocytopenic Idiopathic 
Candidiasis,Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Emaciation Cachexia Obesity Thinness Edema Hydrops Fetalis Eye Manifestations Eye Hemorrhage Fatigue Heart Murmurs Hypergammaglobulinemia Intermittent Claudication Neurologic Manifestations Myoclonus Aphasia Coma Memory Disorders Mental Retardation Psychomotor Disorders Tetany Pain Back Pain Low Back Pain Headache Paralysis Facial Paralysis Hemiplegia Paraplegia Quadriplegia Vocal Cord Paralysis Psychophysiologic Disorders Seizures Deafness Vision Disorders Blindness Diplopia Vision Low Sleep Disorders Urinary Bladder Neurogenic Voice Disorders Abdominal Pain Abdomen Acute Chest Pain Flank Pain Glossalgia Pain Postoperative Dysmenorrhea Pseudophakia Anorexia Constipation Coprophagia Diarrhea Diarrhea Infantile Dyspepsia Halitosis Heartburn Nausea Vomiting Hematemesis Hyperemesis Gravidarum Apnea Cough Dyspnea Respiratory Sounds Skin Manifestations Ecchymosis Jaundice Pruritus Tinea Pedis Purpura Purpura Thrombocytopenic Urinary Incontinence Urinary Incontinence Stress Virilism 
Candidiasis Oral,Fever Body Weight Birth Weight Weight Loss Cachexia Obesity Edema Hypergammaglobulinemia Tremor Mental Retardation Tetany Pain Miosis Paresthesia Taste Disorders Voice Disorders Hoarseness Oral Manifestations Oral Hemorrhage Glossalgia Diarrhea Diarrhea Infantile Halitosis Hiccup Cough Skin Manifestations Tinea Pedis 
Meningitis Cryptococcal,Fever Fever of Unknown Origin Body Weight Weight Loss Fatigue Hypergammaglobulinemia Ataxia Chorea Hypokinesia Confusion Consciousness Disorders Coma Memory Disorders Muscle Weakness Headache Neck Pain Paralysis Facial Paralysis Ophthalmoplegia Paresis Paraparesis Horner Syndrome Seizures Dizziness Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Sudden Tinnitus Vision Disorders Blindness Diplopia Vision Low Vertigo Abdominal Pain Diarrhea Nausea Vomiting Dyspnea Urinary Incontinence 
